Timestamp,In which region do you live?,What is your gender,How old are you?,Please give details of your school education,What is your occupation?,Are you aware of the novel coronavirus outbreak?,What do you know about the new coronavirus disease?,What kind of information have you received about the disease?                                                                                Mark all answers that are true:,Where did you hear about the new coronavirus from? Mark all channels that you heard about the disease from:,Which channel/who do you trust the most to receive information related tocoronavirus? Check the best channel for you to receive coronavirus information from:,How dangerous do you think the new coronavirus risk is? Choose the best answer that matches your belief about the disease:,Who do you think is at highest risk to get the coronavirus? Mark all those you think are likely to become sick:,Do you think you are likely to become sick with the new coronavirus ?,How does the coronavirus spread? Mark all the ways you think the disease spreads:,What are the main symptoms? Mark all the symptoms you think are caused by the new coronavirus:,Do you know how to prevent it? Choose all the prevention steps you know about:,What have you and your family done to to prevent becoming sick with coronavirus in the recent days?Mark all steps that you have taken:,Do you consider important to take actions to prevent the spread of coronavirus in your community?,What to do if you or someone from your family has symptoms of this disease? Mark all the actions you would take:,What more would you like to know about the disease?Choose all topics that you would like to know about:,Do you think the coronavirus disease is generating stigma against specific people? ,(If yes) Which group is being dis-criminated in your community because of coronavirus?,What do you usually do if you have a regular flu? Mark the 1-2 most typical actions you take:,From where/who do you usually receive information on flu and other diseases? Choose as many channels as you have heard about regular flu from:
2020/04/25 7:48:20 AM GMT,Volta,Male,38,Tertiary/University,Lecturer,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Religious leaders,TV,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese;Asian,"stay at home, so I don’t infect others;I go to the health unit",Health unit/Health care worker
2020/04/25 8:55:10 AM GMT,Greater Accra,Male,42,Tertiary/University,Researcher,Yes,It’s a virus that can cause a disease,"How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications;Myths about the disease, ",Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Religious leaders,Health unit/Health care worker,More or less dangerous,Adults;Elderly persons;Health workers,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals;Eating contaminated food,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to treat it,Yes,Chinese;Asian;Italians;Caucasian ,"Nothing, I continue with my normal life, after some time the flu goes away",Radio;TV;Family members;Friends;Community health workers;Religious leaders
2020/04/29 7:25:57 AM GMT,Volta,Female,35,Tertiary/University,Banker,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Family members;Friends;Religious leaders,TV;Health unit/Health care worker,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese;Asian,"stay at home, so I don’t infect others",Radio;TV;Health unit/Health care worker
2020/04/29 7:54:56 AM GMT,Volta,Male,42,Tertiary/University,Teaching ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Friends;Religious leaders;Any person from the community,Radio,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups,Yes,Chinese,I have never had the flu,Radio;TV
2020/04/30 8:28:50 AM GMT,Volta,Female,27,Tertiary/University,Nurse ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;WhatsApp;Social Media (not WhatsApp);Friends;Religious leaders;Any person from the community,TV;Health unit/Health care worker;Community health workers;Red Cross Red Crescent volunteers;Community leaders,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to treat it,Yes,Chinese,I go to the health unit,Health unit/Health care worker
2020/04/30 8:29:53 AM GMT,Volta,Male,33,Tertiary/University,I.T coordinator ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted,Social Media (not WhatsApp),Social Media (not WhatsApp),Is not dangerous,Elderly persons,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing,Yes,I would stay in quarantine,How to protect yourself from the disease?,No,,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Health unit/Health care worker;Community health workers
2020/04/30 8:30:31 AM GMT,Volta,Male,43,Tertiary/University,IT Specialist,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Red Cross Red Crescent volunteers;Other community mobilisers;Community leaders;Religious leaders;Any person from the community;Business Associates,TV,Very dangerous,Adults;Elderly persons;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals;Eating contaminated food,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Eliminate standing water;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Eliminate standing water;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;I go to the health unit;I tack some antibiotics",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers
2020/04/30 8:38:39 AM GMT,Volta,Male,27,Tertiary/University,Teaching,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Friends;Religious leaders,Radio;TV;Health unit/Health care worker;Community health workers,More or less dangerous,Youth;Health workers,Yes,Airborne;Direct contact with infected people.,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing,Yes,I will go to the hospital / health unit,Most at risk groups;How to treat it,No,,I have never had the flu,Radio;TV;Health unit/Health care worker;Community health workers
2020/04/30 8:56:53 AM GMT,Volta,Male,43,Tertiary/University,Teaching,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,TV;CNN,Community health workers,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the neighborhood nurse;I will buy medicines at the market;I would stay in quarantine,What to do if you have the symptoms,Yes,Chinese,I go to the health unit,Community health workers
2020/04/30 8:57:19 AM GMT,Volta,Male,43,Tertiary/University,Teaching,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,TV;CNN,Community health workers,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Health workers,No,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the neighborhood nurse;I will buy medicines at the market;I would stay in quarantine,What to do if you have the symptoms,Yes,Chinese,I go to the health unit,Community health workers
